5	48.555288208232696	2.803340871760301
10	35.533563482273834	2.051531244175745
15	29.593445352414	1.7085783640464702
20	27.84597660355309	1.6076882087909397
25	23.262426260947002	1.343056806376157
30	25.89534496621606	1.4950684387003061
35	22.429857967122693	1.2949884535203358
40	19.464018031110868	1.1237556049773587
45	18.81083270838835	1.086043932786903
50	20.342324112137643	1.1744646302085282
55	16.69280043958394	0.9637592827322491
60	16.723572615291673	0.96553591512509
65	16.65702094464481	0.9616935526287914
70	16.60776511651767	0.9588497660659552
75	14.787185011926928	0.853738524719281
80	15.290033846348297	0.8827705157107678
85	14.818932810577733	0.8555714847290031
90	15.000413646187488	0.866049285658208
95	13.908272150812667	0.8029944670234268
100	14.08360997018439	0.8131176007447655
105	13.8879383783044	0.8018204961202979
110	12.19429944996499	0.7040382070016192
115	12.782449528607208	0.7379950676244176
120	12.274979622873603	0.7086962789563245
125	12.365990540039371	0.7139507967088096
130	12.17411641981472	0.7028729392125871
135	12.445118259769963	0.7185192377374914
140	11.489088545765766	0.663322836464131
145	12.227252407682261	0.7059407469024853
150	10.85560207170087	0.6267484778311956
155	11.189589481203498	0.6460312499094244
160	11.63119008486876	0.6715270726494683
165	11.336981828856166	0.6545409510688003
170	10.770074084500425	0.6218105171878532
175	10.908676472949818	0.6298127298160114
