RAT: Libraries loaded.

Processing readMTV.C...
***********************************************************************************************
*    Row   * Instance * trackPDG  *  trackPos *  trackPos *  trackPos *  trackTim *  trackPro *
***********************************************************************************************
*        0 *       40 *      2212 * 12815.480 * -4546.593 * -10372.21 * 52727.076 *         1 *
*        0 *       41 *      2212 * 12815.480 * -4546.593 * -10372.21 * 52727.076 *         4 *
*        0 *       42 *      2212 * 12815.567 * -4546.292 * -10372.35 * 52619.693 *         1 *
*        0 *       43 *      2212 * 12815.567 * -4546.292 * -10372.35 * 52619.693 *         4 *
*        0 *       44 *      2212 * 12813.436 * -4543.619 * -10372.17 * 51366.442 *         1 *
*        0 *       45 *      2212 * 12813.436 * -4543.619 * -10372.17 * 51366.443 *         4 *
*        0 *       46 *      2212 * 12811.567 * -4539.208 * -10376.14 * 48228.463 *         1 *
*        0 *       47 *      2212 * 12811.567 * -4539.208 * -10376.14 * 48228.463 *         4 *
*        0 *       48 *      2212 * 12812.144 * -4538.532 * -10375.62 * 47867.031 *         1 *
*        0 *       49 *      2212 * 12812.144 * -4538.532 * -10375.62 * 47867.031 *         4 *
*        0 *       50 *      2212 * 12811.559 * -4537.246 * -10375.25 * 47324.565 *         1 *
*        0 *       51 *      2212 * 12811.559 * -4537.246 * -10375.25 * 47324.566 *         4 *
*        0 *       52 *      2212 * 12807.381 * -4540.054 * -10383.76 * 42075.593 *         1 *
*        0 *       53 *      2212 * 12807.381 * -4540.054 * -10383.76 * 42075.593 *         4 *
*        0 *       54 *      2212 * 12807.931 * -4540.400 * -10384.31 * 41715.246 *         1 *
*        0 *       55 *      2212 * 12807.931 * -4540.400 * -10384.31 * 41715.247 *         4 *
*        0 *       56 *      2212 * 12813.206 * -4543.571 * -10384.04 * 39162.717 *         1 *
*        0 *       57 *      2212 * 12813.206 * -4543.571 * -10384.04 * 39162.718 *         4 *
*        0 *       58 *      2212 * 12822.284 * -4524.960 * -10375.99 * 32631.252 *         1 *
*        0 *       59 *      2212 * 12822.284 * -4524.960 * -10375.99 * 32631.252 *         4 *
*        0 *       60 *      2212 * 12821.269 * -4516.726 * -10378.82 * 29357.875 *         1 *
*        0 *       61 *      2212 * 12821.269 * -4516.726 * -10378.82 * 29357.875 *         4 *
*        0 *       62 *      2212 * 12821.089 * -4517.455 * -10379.52 * 28821.736 *         1 *
*        0 *       63 *      2212 * 12821.089 * -4517.455 * -10379.52 * 28821.736 *         4 *
*        0 *       64 *      2212 * 12819.208 * -4523.590 * -10375.18 * 21379.144 *         1 *
*        0 *       65 *      2212 * 12819.208 * -4523.590 * -10375.18 * 21379.145 *         4 *
